student.stage1.001	…ゾンビのせいじゃない…勉強したくなくて寝てるだけ…
student.stage1.261	弁当列は消えて、門の列でゾンビチェックが続く。
student.stage1.262	診療室で薬を取る前に感染票を埋めた。
student.stage1.263	今日の鉛筆は少なめで、ゾンビキットは豊富。
student.stage1.264	リュックは軽いが、ゾンビ装備は重い。
student.stage1.265	文房具よりゾンビ用の笛を持ち帰った。
student.stage1.266	レシートには文句を書きつつ、追加備品を買う。
student.stage1.267	バス待ち中、即座にゾンビ避け訓練開始。
student.stage1.268	制服洗濯を後回し。廊下点検を先にした。
student.stage1.269	廊下の壁は黒板より避難看板が多い。
student.stage1.270	先生より先に、指導者がゾンビ口令をくれた。
student.stage1.271	図書返却後すぐ、ゾンビ監視リーダーに。
student.stage1.272	警報は繰り返し、ゾンビ注意はさらに繰り返し。
student.stage1.273	点呼では名前を呼ぶが、ゾンビは足音を聞く。
student.stage1.274	先生説明は良いが、背後のドアを叩くのはゾンビ。
student.stage1.275	試験前日は静かにしたい。だがゾンビ騒音は倍。
student.stage1.276	保護者連絡に感染予防の一文が増えた。
student.stage1.277	母は成績よりまず私の体調とゾンビ情報。
student.stage1.278	宿題確認は通過後。先にゾンビ制圧が必要。
student.stage1.279	試験の後でも家は遠い。門でゾンビに止められた。
student.stage1.280	修学旅行は消え、先に生存マップを描いた。
student.stage1.281	委員会は遅延、廊下はゾンビ巡回中。
student.stage1.282	顧問はもう、ゾンビ隊長みたいだった。
student.stage1.283	放課後ノートより避難ガイドを選んだ。
student.stage1.284	項目に「ゾンビ準備100点」を入れた。
student.stage1.285	掃除は安全線を塗り終えてからでいい。
student.stage1.286	廊下掃除係が今はゾンビの角度を測る。
student.stage1.287	本を並べる前に隠れ場所を先に確認。
student.stage1.288	本試験は厳しい。図書室はただ明るく開いた。
student.stage1.289	試験は厳しい。避難ドア練習はさらに厳しい。
student.stage1.290	試験室が閉まったら、即ゾンビ回避モード。
student.stage1.291	昼シフト中、列に入る前に経路を読み上げる。
student.stage1.292	体力テストより先に、ゾンビ距離が見える。
student.stage1.293	年度末ワークは後で。感染通知が先。
student.stage1.294	昼食表が変わると、夜の非常食も変わる。
student.stage1.295	「体育の授業？」は、明日のゾンビ速度特訓。
student.stage1.296	ドア枠を掃いたあと、別の扉をゾンビ用に封鎖。
student.stage1.297	駅のアナウンスはシートベルトより避難ベルト。
student.stage1.298	非常口は、ゾンビより先に開けちゃダメ。
student.stage1.299	トイレ緊急でも、通過中はゾンビに道を譲る。
student.stage1.300	試験はため息から始まり、隣でゾンビと退室する。
investigation.student.stage1.001	ノートには「宿題:未提出」。今日も宿題が追ってくる。
investigation.student.stage1.002	リボンは曲がってた。近寄れなくて、心の中で直した。
investigation.student.stage2.001	時間割は埋まってる。ゾンビより忙しすぎる。
investigation.student.stage2.002	靴紐がほどけた。『ごめん』より『ほら』が先に出た。
investigation.student.stage3.001	ホイッスル1回で体育が再開しそう。
investigation.student.stage3.002	バスケットボールが脇に張り付く。味方？それとも？
investigation.student.stage4.001	トレイが礼儀正しく、食事を待つみたい。
investigation.student.stage4.002	箸とスプーンが整ってる。私だけが乱れてる。
investigation.classroomDesk.001	机の脚で腕をつつかれた。私ももうゾンビ側？
investigation.classroomDesk.002	『昼は最高』と書いてある。胃だけが先に悲鳴。
investigation.classroomDesk.003	傷跡は地図みたい。ここに隠れられる。
investigation.classroomDesk.004	引き出しは触る前からガタガタ鳴く。
investigation.classroomDesk.005	天板は私の小さな告白箱。
investigation.classroomChair.001	椅子の軋みが叱る。座る前だよ。
investigation.classroomChair.002	消しゴム粉がモンスターみたいで気味悪い。
investigation.classroomChair.003	椅子脚は監視員みたいに重心を見る。
investigation.classroomChair.004	座る前から、座面が自信を採点。
investigation.classroomChair.005	背もたれがない。背筋を強制するコーチ。
investigation.corridorLockerBank.001	体育服の袖が揺れて、返礼で手を上げた。
investigation.corridorLockerBank.002	時間割は体力テスト日。私は十分走った。
investigation.corridorLockerBank.003	ロッカーの取っ手は門番の列。
investigation.corridorLockerBank.004	一枚開けるだけで廊下が反応する。
investigation.corridorLockerBank.005	金属の匂いが秘密を閉じこめる。
investigation.corridorJanitorCart.001	モップが小さくお辞儀したので、私も返した。
investigation.corridorJanitorCart.002	バケツの映りが麺みたいに伸びる。髪より長い。
investigation.corridorJanitorCart.003	車輪が床に掃除の軌道を描く。
investigation.corridorJanitorCart.004	ほうきより先にモップの方が下がる。
investigation.corridorJanitorCart.005	凹んだ縁が小さなくしゃみを鳴らす。
investigation.corridorLostFoundBoard.001	片方の靴下メモで、今更寂しい。
investigation.corridorLostFoundBoard.002	紙片がバタつく。紙の怖さは本物。
investigation.corridorLostFoundBoard.003	失くしたものの名簿みたいな紙だらけ。
investigation.corridorLostFoundBoard.004	紙のささやきが私の名前を読む。
investigation.corridorLostFoundBoard.005	ボードの隅に私の顔まで重なる。
investigation.basketballHoop.001	ネットが目配せしてる。なぜこんなに落ち着いてる？
investigation.basketballHoop.002	リング下は体育採点の気配。ゾンビより厳し。
investigation.basketballHoop.003	輪は審判みたいに上から見下ろす。
investigation.basketballHoop.004	ネットの揺れが偽の応援に包む。
investigation.basketballHoop.005	バックボードが「先に撃て」と言う。
investigation.basketballBallCart.001	ボール台は審査員の輪みたい。
investigation.basketballBallCart.002	車輪の軋みで、密かな歩きはバレた。
investigation.basketballBallCart.003	ボール台は目の委員会。
investigation.basketballBallCart.004	1本の車輪がVIPベルみたい。
investigation.basketballBallCart.005	台の縁は一列分の秘密を隠す。
investigation.basketballCluster.001	つま先をボールが軽くつついた。『え？』
investigation.basketballCluster.002	ボールは居眠り中。起こさない。
investigation.basketballCluster.003	絡み合うボールは私を審査している。
investigation.basketballCluster.004	一歩で反発が私に代わって答える。
investigation.basketballCluster.005	意欲的なボールが隊長みたいに覗く。
investigation.gymBench.001	ほこりが観客席みたいに積もる。私の開幕。
investigation.gymBench.002	名札を拾った瞬間、先にバレた。
investigation.gymBench.003	ベンチの端は私専用の隊列テープ。
investigation.gymBench.004	ずらすと座面が点数を刻む。
investigation.gymBench.005	背もたれなしは厳しい指導役。
investigation.gymTrainingCones.001	コーンは廊下の見張り。足を正す。
investigation.gymTrainingCones.002	傾いたコーンはなおももっと歪む。
investigation.gymTrainingCones.003	コーン列は厳しい見張り札。
investigation.gymTrainingCones.004	1本直すと逆に曲る。
investigation.gymTrainingCones.005	ゴム底がこっそり笑う。
investigation.gymMats.001	マットは柔らかすぎる。一休みしたくなる。
investigation.gymMats.002	巻いたマットは巻き寿司。胃が反応しすぎ。
investigation.gymMats.003	丸めたマットは今にも寝そべりたい。
investigation.gymMats.004	フォーム端が足をそっと誘う。
investigation.gymMats.005	この障害は黒帯つきの敷物。
investigation.gymScoreboard.001	スコアが変な数字で止まる。
investigation.gymScoreboard.002	掲示板は私を質問してくる。
investigation.gymScoreboard.003	スコアはわざとずれる。
investigation.gymScoreboard.004	瞬きで読む恐怖が切り替わる。
investigation.gymScoreboard.005	映る私の顔が一秒スコアをいじる。
investigation.gymBanner.001	「最後まで！」とバナーが叫ぶ。
investigation.gymBanner.002	文字が踊り、応援部より派手。
investigation.gymBanner.003	バナーは瞬きで文字を踊らせる。
investigation.gymBanner.004	布が監督みたいに私を押す。
investigation.gymBanner.005	連続する標語がゴールへ誘導。
investigation.gymExitDoor.001	取っ手は氷のように冷たい。
investigation.gymExitDoor.002	緑の看板が自信満々で呼ぶ。
investigation.gymExitDoor.003	緑が私の躊躇いに微笑む。
investigation.gymExitDoor.004	振動が心拍を真似る。
investigation.gymExitDoor.005	隅が揺れるたび隠し道がある。
investigation.gymEquipmentSpill.001	縄跳びが蛇みたいにうごく。
investigation.gymEquipmentSpill.002	隠しボールが顔を出した。
investigation.gymEquipmentSpill.003	縄と球は蛇コスの山。
investigation.gymEquipmentSpill.004	隠れボールが警告灯になる。
investigation.gymEquipmentSpill.005	その場所は声を飲み込む。
investigation.kitchenPrepTable.001	人参切りがきれいすぎる。トップは人参。
investigation.kitchenPrepTable.002	包丁跡は地図で、玉ねぎの道。
investigation.kitchenPrepTable.003	人参の並びが学級トップみたい。
investigation.kitchenPrepTable.004	ナイフ線が小さな行進路図。
investigation.kitchenPrepTable.005	縁は注意札みたい。
investigation.kitchenCookLine.001	鍋蓋の音が合図のよう。
investigation.kitchenCookLine.002	配膳前で「おかわり」を思う。
investigation.kitchenCookLine.003	鍋蓋の太鼓が近づく。
investigation.kitchenCookLine.004	湯気が私の食欲を採点。
investigation.kitchenCookLine.005	調理係は私より先に焦る。
investigation.kitchenSinkCounter.001	水滴が拍で落ちる。音楽科。
investigation.kitchenSinkCounter.002	こすり布は世界の疲れを抱える。
investigation.kitchenSinkCounter.003	水滴はメトロノーム練習。
investigation.kitchenSinkCounter.004	スポンジは疲れた報告書。
investigation.kitchenSinkCounter.005	濡れた縁は渡るべきない堀。
investigation.kitchenRefrigerator.001	冷蔵庫がため息をつく。
investigation.kitchenRefrigerator.002	副菜容器が整列、私は乱れてる。
investigation.kitchenRefrigerator.003	冷蔵庫も私もため息つき合う。
investigation.kitchenRefrigerator.004	副菜は隊列、私は一人だけ外れ。
investigation.kitchenRefrigerator.005	光が隠したお菓子を照らす。
investigation.kitchenTrayRack.001	何枚も映る私。怯える会議。
investigation.kitchenTrayRack.002	トレイがメニューを読み上げる気分。
investigation.kitchenTrayRack.003	反射で自分が会議顔。
investigation.kitchenTrayRack.004	1枚取ると金属が拍手する。
investigation.kitchenTrayRack.005	トレイ音がメニューの鐘。
investigation.kitchenShelfCart.001	皿の音が合唱隊。
investigation.kitchenShelfCart.002	手伝うと軋みが大きくなる。
investigation.kitchenShelfCart.003	皿音は偶然のオーケストラ。
investigation.kitchenShelfCart.004	少し押すと自分だけの法則で進む。
investigation.kitchenShelfCart.005	取っ手は猫の警戒サイン。
investigation.kitchenTrashBins.001	ゴミ箱が喋る顔。後で相談。
investigation.kitchenTrashBins.002	給食表を読むと胃がうなる。
investigation.kitchenTrashBins.003	一つは喋って、もう一つは頷く。
investigation.kitchenTrashBins.004	昼のベルでしか蓋が開かない。
investigation.kitchenTrashBins.005	匂いと私の胃、合唱する。
investigation.kitchenCrateStack.001	息をするだけで崩れそうで静かに。
investigation.kitchenCrateStack.002	「気をつけて」が頭で鳴る。
investigation.kitchenCrateStack.003	そっとした息でも全体が震える。
investigation.kitchenCrateStack.004	上の箱は厳しい隊長。
investigation.kitchenCrateStack.005	木目が「注意」をささやく。
investigation.kitchenClutter.001	鍋とおたまが指揮者なしの演奏。
investigation.kitchenClutter.002	大人しく見えるスプーンは不穏。
investigation.kitchenClutter.003	鍋とおたまは符丁で会議。
investigation.kitchenClutter.004	静かなスプーンこそ最悪。
investigation.kitchenClutter.005	蒸気が影を苦情に送る。
